muni_co,muni,dep_co,dep,votval,abelardo,ivan,paloma,votant
07280,SOMONDOCO,07,BOYACA,1704,1009,436,141,1728
01265,SOPETRAN,01,ANTIOQUIA,7357,3047,1713,2132,7446
03052,SOLEDAD,03,ATLANTICO,168549,54568,104590,2486,169553
01262,SONSON,01,ANTIOQUIA,16099,9028,1679,4042,16399
07277,SOGAMOSO,07,BOYACA,70423,29674,27481,6297,71271
15250,SOPO,15,CUNDINAMARCA,16190,5829,7099,1267,16417
05106,SOPLAVIENTO,05,BOLIVAR,4778,969,3669,39,4821
07283,SOTAQUIRA,07,BOYACA,4128,2145,1132,529,4207
07281,SORA,07,BOYACA,1820,910,612,146,1851
11085,SOTARA (PAISPAMBA),11,CAUCA,4692,891,3136,419,4807
27199,SOCORRO,27,SANTANDER,17107,10882,3380,1804,17214
27202,SUAITA,27,SANTANDER,5208,3650,812,504,5272
07282,SORACA,07,BOYACA,3961,1921,1207,516,4033
11087,SUAREZ,11,CAUCA,10588,2638,6341,594,11371
19076,SUAZA,19,HUILA,9072,6145,2001,395,9179
29115,SUAREZ,29,TOLIMA,2707,1472,697,408,2743
03055,SUAN,03,ATLANTICO,5052,3151,1661,93,5069
11086,SUCRE,11,CAUCA,3884,251,3332,129,4001
15256,SUBACHOQUE,15,CUNDINAMARCA,9780,5771,2160,926,9917
27205,SUCRE,27,SANTANDER,2948,1911,421,518,2982
28280,SUCRE,28,SUCRE,9626,4774,3764,778,9694
88745,SUDAFRICA,88,CONSULADOS,110,53,21,22,110
88755,SUECIA,88,CONSULADOS,1515,384,815,165,1518
88760,SUIZA,88,CONSULADOS,4510,1672,1766,580,4515
15259,SUESCA,15,CUNDINAMARCA,8527,2962,3958,587,8800
09124,SUPIA,09,CALDAS,12214,5135,4159,1469,12893
15262,SUPATA,15,CUNDINAMARCA,3028,2013,529,297,3050
15265,SUSA,15,CUNDINAMARCA,3745,2382,795,278,3774
27208,SURATA,27,SANTANDER,2221,1492,383,241,2250
07289,SUTAMARCHAN,07,BOYACA,4183,2519,1006,392,4207
07292,SUTATENZA,07,BOYACA,2371,1349,614,264,2395
15268,SUTATAUSA,15,CUNDINAMARCA,3045,1775,721,250,3114
88765,TAILANDIA,88,CONSULADOS,114,46,43,10,114
15271,TABIO,15,CUNDINAMARCA,13807,6721,4373,1081,14024
17043,TADO,17,CHOCO,5221,839,3771,248,5455
05110,TALAIGUA NUEVO,05,BOLIVAR,5244,2840,2177,107,5259
12900,TAMALAMEQUE,12,CESAR,5137,2246,2622,119,5165
46840,TAMARA,46,CASANARE,2627,1684,469,330,2669
07286,SUSACON,07,BOYACA,1380,892,219,198,1400
01268,TAMESIS,01,ANTIOQUIA,8415,4240,1964,1464,8569
23133,TAMINANGO,23,NARIÑO,8814,1302,7045,179,8905
23136,TANGUA,23,NARIÑO,5862,1371,4032,214,5933
68017,TARAIRA,68,VAUPES,402,85,278,14,406
40005,TAME,40,ARAUCA,19696,10658,5972,1289,20113
60022,TARAPACA,60,AMAZONAS,494,69,356,16,500
19079,TARQUI,19,HUILA,7588,5038,1693,457,7663
01271,TARSO,01,ANTIOQUIA,2890,1374,754,539,2930
01270,TARAZA,01,ANTIOQUIA,6679,2214,3594,278,6812
07298,TASCO,07,BOYACA,2855,1626,787,283,2894
19082,TELLO,19,HUILA,5744,3536,1432,440,5824
46850,TAURAMENA,46,CASANARE,14514,9652,3174,664,14757
15274,TAUSA,15,CUNDINAMARCA,4477,2936,729,429,4554
15277,TENA,15,CUNDINAMARCA,5206,2862,1576,422,5259
21085,TENERIFE,21,MAGDALENA,4977,1911,2740,130,5027
15280,TENJO,15,CUNDINAMARCA,14510,6939,4517,1311,14852
07301,TENZA,07,BOYACA,2206,1331,513,193,2238
25091,TEORAMA,25,NORTE DE SAN,5355,905,4117,81,5433
19025,TESALIA (CARNICERIAS),19,HUILA,5438,3825,968,316,5531
19085,TERUEL,19,HUILA,3830,2567,648,420,3864
15283,TIBACUY,15,CUNDINAMARCA,2918,1478,1021,250,2956
07304,TIBANA,07,BOYACA,4164,2736,944,255,4212
07307,TIBASOSA,07,BOYACA,6912,2825,2906,615,7010
